name,number,date_of_birth,age,height,citizenship,position,foot,joined,contract_expires,outfitter,player_id,club_id,country_of_birth,city_of_birth
lucca,45,2003-04-02,21,1.8,Brazil,Attack - Centre-Forward,right,2023-01-01,2025-12-31,Nike,982549,6600,Brazil,Fortaleza
alemao,14,1998-04-01,26,1.82,Brazil,Attack - Centre-Forward,right,2023-07-17,2024-06-30,Nike,560417,6600,Brazil,Campo Erê
enner valencia,13,1989-11-04,34,1.77,Ecuador,Attack - Centre-Forward,right,2023-07-03,2026-06-30,,139503,6600,Ecuador,San Lorenzo
luiz adriano,12,1987-04-12,37,1.84,Brazil,Attack - Centre-Forward,right,2024-03-05,2024-12-31,adidas,48974,6600,Brazil,Porto Alegre
gabriel barros,0,2001-10-25,22,1.82,Brazil,Attack - Right Winger,left,2024-03-07,2024-12-31,,738507,6600,Brazil,São Paulo
jean dias,22,1990-10-22,33,1.7,Brazil,Attack - Right Winger,right,2024-01-01,2024-12-31,,788362,6600,Brazil,Conceição
pedro henrique,16,1990-06-16,33,1.79,Brazil,Attack - Right Winger,right,2024-02-16,2025-12-31,Mizuno,213368,6600,Brazil,Santa Cruz do Sul
estevao,0,2002-02-03,22,1.76,Brazil,Midfield - Attacking Midfield,left,2024-01-01,2024-12-31,Nike,982552,6600,Brazil,Amambai
wanderson,11,1994-10-07,29,1.75,Brazil,Attack - Left Winger,right,2023-01-01,2025-12-31,Nike,236202,6600,Brazil,São Luís
allison,42,2002-02-07,22,1.77,Brazil,Midfield - Attacking Midfield,right,2023-01-31,2026-06-30,,982551,6600,Brazil,São Leopoldo
alan patrick,10,1991-05-13,33,1.77,Brazil,Midfield - Attacking Midfield,right,2022-04-11,2026-12-31,adidas,104505,6600,Brazil,São Paulo
mauricio,27,2001-06-22,22,1.74,Brazil,Midfield - Attacking Midfield,left,2020-11-06,2027-12-31,Nike,678439,6600,Brazil,São Paulo
baralhas,0,1998-10-10,25,1.78,Brazil,Midfield - Central Midfield,right,2023-07-18,2024-12-31,Nike,552242,6600,Brazil,Botucatu
lucas ramos,16,2001-01-03,23,1.73,Brazil,Midfield - Central Midfield,right,2024-02-01,2024-12-31,adidas,689507,6600,Brazil,Sarandí
carlos de pena,14,1992-03-11,32,1.77,Uruguay,Midfield - Central Midfield,left,2024-04-11,2024-12-31,adidas,257740,6600,Uruguay,Montevideo
bruno henrique,8,1989-10-21,34,1.8,Brazil,Midfield - Central Midfield,right,2023-07-19,2025-12-31,,277335,6600,Brazil,Apucarana
matheus dias,41,2002-05-09,22,1.87,Brazil,Midfield - Defensive Midfield,right,2022-01-01,2027-12-31,Nike,815384,6600,Brazil,São Paulo
charles aranguiz,20,1989-04-17,35,1.71,Chile,Midfield - Central Midfield,right,2023-04-02,2025-06-30,Nike,89701,6600,Chile,Puente Alto
campanharo,0,1992-04-04,32,1.78,Brazil,Midfield - Defensive Midfield,right,2024-03-06,2024-12-31,Nike,103674,6600,Brazil,Caxias do Sul
johnny cardoso,4,2001-09-20,22,1.86,United States,Midfield - Defensive Midfield,right,2024-01-01,2029-06-30,Nike,689505,6600,United States,"Denville, New Jersey"
romulo,40,2000-03-01,24,1.82,Brazil,Midfield - Defensive Midfield,right,2024-01-14,2027-12-31,,687359,6600,Brazil,Campo Grande
hugo mallo,2,1991-06-22,32,1.73,Spain,Defender - Right-Back,right,2023-08-14,2024-07-31,,119905,6600,Spain,Marín
gabriel,3,1992-07-10,31,1.71,Brazil,Midfield - Defensive Midfield,right,2024-04-19,2024-12-31,Nike,213606,6600,Brazil,Campinas
fabricio bustos,16,1996-04-28,28,1.67,Argentina,Defender - Right-Back,right,2022-02-23,2024-12-31,adidas,275381,6600,Argentina,Ucacha
mario fernandes,6,1990-09-19,33,1.89,Russia,Defender - Right-Back,right,2023-07-17,2025-06-30,Nike,102740,6600,Brazil,São Caetano do Sul
rangel,16,2004-04-30,20,1.77,Brazil,Defender - Left-Back,left,2023-09-15,2024-06-30,,980767,6600,Brazil,Rebouças
thauan lara,36,2004-01-22,20,1.76,Brazil,Defender - Left-Back,left,2024-03-07,2024-12-31,adidas,749557,6600,Brazil,Porto Alegre
endrick,9,2006-07-21,17,1.73,Brazil,Attack - Centre-Forward,left,2023-01-01,2025-06-30,New Balance,971570,1023,Brazil,Taguatinga
andre henrique,77,2001-12-17,22,1.89,Brazil,Attack - Centre-Forward,right,2024-01-01,2026-12-31,,1024605,210,Brazil,Guanambi
lele,18,1997-10-01,26,1.89,Brazil,Attack - Centre-Forward,right,2024-01-10,2028-12-31,Nike,972864,2462,Brazil,Rio de Janeiro
jp bardales,0,1999-08-02,24,1.88,Brazil,Attack - Centre-Forward,right,2024-05-08,,,992531,537,Brazil,Rio Branco
janderson,39,1999-05-06,25,1.89,Brazil,Attack - Centre-Forward,both,2024-04-19,2027-12-31,,976561,537,Brazil,São João de Meriti
felipe augusto,10,2004-02-18,20,1.87,Brazil,Attack - Centre-Forward,left,2024-01-06,2028-06-30,,834899,199,Brazil,São Paulo
erison,9,1999-04-13,25,1.8,Brazil,Attack - Centre-Forward,left,2024-01-08,2027-06-30,Nike,787238,585,Brazil,Campinas
messias,37,1994-11-03,29,1.91,Brazil,Defender - Centre-Back,right,2024-04-12,2024-12-31,Nike,401539,221,Brazil,São Matheus
deivid washington,36,2005-06-05,18,1.87,Brazil,Attack - Centre-Forward,right,2023-08-24,2030-06-30,adidas,1082850,221,Brazil,Itumbiara
talles wander,19,2003-10-24,20,1.8,Brazil,Attack - Centre-Forward,right,2024-01-31,,,980866,585,Brazil,Cotia
joao magno,9,1997-02-15,27,1.95,Brazil,Attack - Centre-Forward,left,2024-01-10,,,595013,3197,Brazil,Bahia
lucas emmanuel,0,2001-06-07,22,1.85,Brazil,Attack - Centre-Forward,left,2024-01-01,,,863119,3197,Brazil,Santana
ighor gabryel,0,2003-01-15,21,1.76,Brazil,Attack - Centre-Forward,,2024-04-26,,,902118,2863,Brazil,Brumadinho
henrique almeida,0,1991-05-27,32,1.77,Brazil,Attack - Centre-Forward,right,2023-07-18,2024-12-31,,103743,2863,Brazil,Brasília
gustavo coutinho,9,1999-01-19,25,1.86,Brazil,Attack - Centre-Forward,right,2024-01-13,2027-12-31,,612340,10870,Brazil,Rio de Janeiro
renato marques,78,2003-12-09,20,1.8,Brazil,Attack - Centre-Forward,right,2023-02-01,2027-12-31,,985351,2863,Brazil,Belo Horizonte
gonzalo mastriani,9,1993-04-28,31,1.82,Uruguay,Attack - Centre-Forward,left,2024-01-29,2026-12-31,,195882,2863,Uruguay,Montevideo
julimar,20,2001-01-25,23,1.82,Brazil,Attack - Centre-Forward,right,2024-01-01,2025-12-31,,593205,679,Brazil,Nova Ipixuna
romulo,79,2002-02-08,22,1.93,Brazil,Attack - Centre-Forward,right,2024-02-07,2024-06-30,adidas,957874,679,Brazil,Marialva
mikael,0,1999-05-28,24,1.84,Brazil,Attack - Centre-Forward,left,2022-07-01,2026-06-30,,642689,2863,Brazil,Bacabal
wellington paulista,0,1983-04-22,41,1.8,Brazil,Attack - Centre-Forward,right,2024-01-01,,,51716,2863,Brazil,São Paulo
luciano arriagada,32,2002-04-30,22,1.84,Chile,Attack - Centre-Forward,right,2024-03-13,2024-12-31,adidas,737965,679,Chile,Lota
aloisio,0,1988-06-19,35,1.7,China,Attack - Centre-Forward,right,2024-01-01,,,55246,2863,Brazil,Araranguá
vitor roque,19,2005-02-28,19,1.72,Brazil,Attack - Centre-Forward,right,2024-01-01,2031-06-30,Nike,943837,679,Brazil,Timóteo
ze roberto,99,1993-09-14,30,1.84,Brazil,Attack - Centre-Forward,right,2024-03-07,2024-12-31,,305428,776,Brazil,Teixeira de Freitas
eberth,77,2003-06-19,20,1.93,Brazil,Attack - Centre-Forward,left,2024-01-01,2026-12-31,,1090820,776,Brazil,Bom Jesus da Lapa
diogo de oliveira,0,1996-12-04,27,1.94,Brazil,Attack - Centre-Forward,right,2020-01-15,,,747820,776,Brazil,São Paulo
matheus cadorini,0,2002-09-01,21,1.91,Brazil,Attack - Centre-Forward,right,2023-07-03,2024-06-30,,868060,776,Brazil,Taubaté
edutm,9,1993-03-05,31,1.8,Brazil,Attack - Centre-Forward,right,2024-02-14,,,548591,776,Brazil,Rio de Janeiro
rodrigo pinho,20,1991-05-30,32,1.85,Brazil,Attack - Centre-Forward,left,2024-01-03,2025-06-30,,366278,776,Germany,Henstedt-Ulzburg
islam slimani,13,1988-06-18,35,1.88,Algeria,Attack - Centre-Forward,right,2024-02-01,2024-06-30,Nike,174915,776,Algeria,El Hammamet
lucas ronier,98,2004-11-26,19,1.63,Brazil,Attack - Right Winger,left,2023-07-01,2024-12-31,,1090819,776,Brazil,Fazenda Rio Grande
ruan assis,0,2004-04-20,20,1.83,Brazil,Attack - Right Winger,right,,2024-12-31,,1090823,776,Brazil,Curitiba
kaio cesar,37,2004-02-15,20,1.68,Brazil,Attack - Right Winger,right,2024-01-31,2024-06-30,,766258,776,Brazil,Maceió
robson,30,1991-05-30,32,1.75,Brazil,Attack - Right Winger,right,2023-01-01,2024-12-31,,161188,776,Brazil,Campinas
fabricio daniel,77,1997-07-23,26,1.82,Brazil,Attack - Right Winger,left,2024-02-15,2024-12-31,,787269,776,Brazil,Araraquara
wesley pomba,57,2002-06-02,21,1.78,Brazil,Attack - Right Winger,right,2023-04-21,2024-12-31,,574774,776,Brazil,Encruzilhada do Sul
mauricio garcez,11,1997-03-16,27,1.83,Brazil,Attack - Left Winger,right,2024-01-01,2027-12-31,,802809,776,Brazil,Chapadinha
william pottker,10,1993-12-22,30,1.82,Brazil,Attack - Right Winger,left,2023-07-03,2025-12-31,,199472,776,Brazil,Florianópolis
jean gabriel,0,2003-02-15,21,1.72,Brazil,Midfield - Attacking Midfield,right,2021-01-01,,,1088070,776,Brazil,União da Vitória
marcelino moreno,10,1995-06-25,28,1.68,Argentina,Attack - Left Winger,right,2024-01-19,2026-12-31,,456617,776,Argentina,San Martín
regis,0,1992-11-30,31,1.71,Brazil,Midfield - Attacking Midfield,left,2024-04-11,2024-12-31,,272554,776,Brazil,Jales
alef manga,11,1994-11-29,29,1.9,Brazil,Attack - Left Winger,right,2023-01-01,2025-12-31,,612479,776,Brazil,Santos
boschilia,8,1996-03-05,28,1.73,Brazil,Midfield - Attacking Midfield,left,2024-01-31,2024-06-30,,288496,776,Brazil,Piracicaba
jese,0,1993-02-26,31,1.78,Spain,Attack - Left Winger,right,2024-01-01,,Nike,134936,776,Spain,Las Palmas de Gran Canaria
biel,17,2002-03-19,22,1.86,Brazil,Midfield - Attacking Midfield,right,2024-01-01,2024-12-31,,867139,776,Brazil,Curitiba
matheus bianqui,18,1998-01-31,26,1.87,Brazil,Midfield - Central Midfield,right,2024-01-01,2026-12-31,,634737,776,Brazil,Ribeirão Claro
sebastian gomez,19,1996-06-03,27,1.72,Colombia,Midfield - Attacking Midfield,left,2023-08-01,2026-12-31,,570522,776,Colombia,Girardota
bernardo,23,2002-01-08,22,1.86,Brazil,Midfield - Defensive Midfield,right,2022-02-01,2025-12-31,,740294,776,Brazil,Curitiba
fransergio,15,1990-10-18,33,1.86,Brazil,Midfield - Central Midfield,right,2023-07-01,2026-12-31,,111828,776,Brazil,Rondonópolis
junior urso,30,1989-03-10,35,1.81,Brazil,Midfield - Central Midfield,right,2024-02-21,2024-12-31,,144789,776,Brazil,Taboão da Serra
jorge vinicius,0,2003-05-14,21,1.75,Brazil,Midfield - Defensive Midfield,right,2022-01-01,2025-01-31,,1083542,776,Brazil,Moreno
jesus trindade,5,1993-07-10,30,1.78,Uruguay,Midfield - Defensive Midfield,right,2024-02-27,2027-06-30,,251773,776,Uruguay,Salto
willian farias,8,1989-06-06,34,1.78,Brazil,Midfield - Defensive Midfield,right,2024-01-11,2024-12-31,,71080,776,Brazil,Curitiba
diogo batista,2,2003-08-29,20,1.73,Brazil,Defender - Right-Back,right,2023-01-01,2024-12-31,,994588,776,Brazil,Januária
andrey,7,1998-02-15,26,1.75,Brazil,Midfield - Defensive Midfield,right,2022-02-01,2025-12-31,,351895,776,Brazil,Rio de Janeiro
bruno gomes,15,2001-04-04,23,1.75,Brazil,Midfield - Defensive Midfield,right,2024-02-16,2027-12-31,,703322,776,Brazil,Rio de Janeiro
marcos vinicius,63,1997-03-26,27,1.76,Brazil,Defender - Right-Back,right,2024-04-15,,,594006,776,Brazil,Emilianópolis
hayner,3,1995-10-02,28,1.78,Brazil,Defender - Right-Back,right,2024-01-01,2024-12-31,,389942,776,Brazil,Vitória
jamerson,83,1998-09-09,25,1.77,Brazil,Defender - Left-Back,left,2023-04-01,2025-12-31,,613641,776,Brazil,Salvador
natanael,16,2002-01-05,22,1.72,Brazil,Defender - Right-Back,right,2021-01-01,2025-12-31,,740295,776,Brazil,Braganey
andreas samaris,0,1989-06-13,34,1.89,Greece,Midfield - Defensive Midfield,right,2024-01-01,,Nike,140032,776,Greece,Patra
jean pedroso,47,2004-01-28,20,1.91,Brazil,Defender - Centre-Back,right,2023-01-01,2026-12-31,,1090422,776,Brazil,Carembei
thalisson,14,2002-01-20,22,1.9,Brazil,Defender - Centre-Back,right,2023-01-01,2025-12-31,,874307,776,Brazil,Bauru
thiago dombroski,4,2002-06-20,21,1.9,Brazil,Defender - Centre-Back,left,2024-01-26,2025-06-30,,1100480,776,Brazil,Curitiba
victor luis,12,1993-06-23,30,1.77,Brazil,Defender - Left-Back,left,2024-02-05,2024-12-31,,234538,776,Brazil,São Paulo
marcio silva,0,2001-07-07,22,1.92,Brazil,Defender - Centre-Back,left,2024-01-01,2024-11-30,,863033,776,Brazil,Juru
vilar,14,2000-04-18,24,1.9,Brazil,Defender - Centre-Back,right,2024-04-18,2024-12-31,,978269,776,Brazil,Guarujá
diego porfirio,0,1999-08-01,24,1.82,Brazil,Defender - Left-Back,left,,,,896860,776,Brazil,Pindamonhangaba
mauricio antonio,5,1992-02-06,32,1.83,Brazil,Defender - Centre-Back,right,2023-08-14,2025-12-31,,340557,776,Brazil,São Paulo
pedro morisco,72,2004-01-10,20,1.91,Brazil,Goalkeeper,right,2023-01-01,2027-12-31,,974488,776,,
bruno viana,36,1995-02-05,29,1.86,Brazil,Defender - Centre-Back,right,2023-08-17,2024-06-30,Nike,411838,776,Brazil,Macaé
jhon chancellor,0,1992-01-02,32,1.97,Venezuela,Defender - Centre-Back,right,2024-02-07,2024-12-31,Nike,213614,776,Venezuela,Puerto Ordaz
sidnei,0,2003-03-28,21,1.91,Brazil,Goalkeeper,right,2023-09-22,2025-11-30,,1090818,776,Brazil,São José dos Pinhais
henrique,0,1986-10-14,37,1.85,Brazil,Defender - Centre-Back,right,2024-01-01,,,52513,776,Brazil,Marechal Cândido Rondon
gabriel,1,1992-09-27,31,1.94,Brazil,Goalkeeper,right,2024-03-05,2024-12-31,,79242,776,Brazil,Unaí
alex muralha,0,1989-11-10,34,1.89,Brazil,Goalkeeper,right,2024-01-01,2024-12-31,,277743,776,Brazil,Três Corações
pablo,92,1992-06-23,31,1.85,Brazil,Attack - Centre-Forward,right,2022-02-09,2025-12-31,Nike,148765,679,Brazil,Londrina
reinaldo,0,2001-06-06,22,1.77,Brazil,Attack - Right Winger,right,2024-01-01,2024-12-31,,646256,679,Brazil,Criciúma
marcao,71,2000-04-19,24,1.91,Brazil,Goalkeeper,right,2024-01-01,2024-06-30,,764266,776,Brazil,São Sebastião
agustin canobbio,14,1998-10-01,25,1.75,Uruguay,Attack - Right Winger,right,2022-03-30,2026-12-31,Nike,457533,679,Uruguay,Montevideo
marcelo cirino,0,1992-01-22,32,1.82,Brazil,Attack - Right Winger,right,2024-01-10,,Nike,114514,679,Brazil,Maringá
tomas cuello,28,2000-03-05,24,1.76,Argentina,Attack - Left Winger,right,2022-02-23,2025-12-31,adidas,503052,679,Argentina,San Miguel de Tucumán
emersonn,0,2004-07-16,19,1.86,Brazil,Attack - Right Winger,right,,2024-05-31,adidas,743599,679,Brazil,Cachoeiro de Itapemirim
thiago andrade,7,2000-10-31,23,1.79,Brazil,Attack - Left Winger,right,2024-02-08,2024-12-31,Nike,694606,679,Brazil,Araras
chiqueti,0,2005-09-02,18,1.76,Brazil,Midfield - Attacking Midfield,both,,2025-12-31,,1094387,679,Brazil,São Paulo
danielzinho,0,2002-06-28,21,1.69,Brazil,Midfield - Attacking Midfield,right,2024-04-15,2024-11-01,,1084186,679,Brazil,São Carlos
dudu,0,2006-01-01,18,1.77,Brazil,Midfield - Attacking Midfield,left,,2026-04-30,,1004728,679,Brazil,Curitiba
jaja,20,2001-04-15,23,1.77,Brazil,Attack - Left Winger,left,2024-01-31,2024-05-31,,739477,679,Brazil,Catanduva
bruno zapelli,10,2002-05-16,22,1.83,Argentina,Midfield - Attacking Midfield,right,2023-07-21,2028-07-01,adidas,711600,679,Argentina,Carlos Paz
murilo sousa,0,2005-01-24,19,1.77,Brazil,Midfield - Central Midfield,both,,2026-05-31,,1094386,679,Brazil,Campo Maior
vitinho,28,1999-04-01,25,1.81,Brazil,Attack - Left Winger,right,2023-02-10,2024-06-30,adidas,670965,679,Brazil,São José dos Campo
david terans,80,1994-08-11,29,1.76,Uruguay,Midfield - Attacking Midfield,left,2024-01-24,2026-12-31,Puma,261309,679,Uruguay,Montevideo
vitor bueno,55,1994-09-05,29,1.85,Brazil,Midfield - Attacking Midfield,right,2024-01-11,2024-12-31,Nike,390368,679,Brazil,Ribeirão Preto
alex santana,80,1995-05-13,29,1.82,Brazil,Midfield - Central Midfield,right,2022-07-29,2026-06-30,Nike,219835,679,Brazil,Atibaia
leo cittadini,18,1994-02-27,30,1.79,Brazil,Midfield - Central Midfield,left,2024-02-27,2024-12-31,adidas,187210,679,Brazil,Rio Claro
fernandinho,5,1985-05-04,39,1.79,Brazil,Midfield - Defensive Midfield,right,2022-07-18,2024-12-31,Puma,26267,679,Brazil,Londrina
joao cruz,0,2006-05-12,18,1.7,Brazil,Midfield - Central Midfield,right,,,,1004738,679,Brazil,São Paulo
hugo moura,25,1998-01-03,26,1.77,Brazil,Midfield - Defensive Midfield,right,2024-04-18,2024-12-31,Nike,644157,679,Brazil,Rio de Janeiro
christian,88,2000-12-19,23,1.78,Brazil,Midfield - Central Midfield,right,2019-09-01,2025-12-31,adidas,658678,679,Brazil,Jundiaí
bryan garcia,20,2001-01-18,23,1.75,Ecuador,Midfield - Central Midfield,right,2023-07-05,,Nike,739496,679,Ecuador,Río Verde
madson,22,1992-01-13,32,1.82,Brazil,Defender - Right-Back,right,2023-01-01,2024-12-31,Nike,177845,679,Brazil,Itaparica
erick,26,1997-11-14,26,1.76,Brazil,Midfield - Defensive Midfield,right,2019-01-01,2026-01-31,adidas,633212,679,Brazil,Nova Lima
khellven,2,2001-02-25,23,1.76,Brazil,Defender - Right-Back,right,2023-09-01,2028-06-30,Nike,653348,679,Brazil,Alexandria
leo ataide,0,2004-01-19,20,1.75,Brazil,Defender - Right-Back,right,,,adidas,743830,679,Brazil,Piracicaba
zanella,0,2004-09-10,19,1.78,Brazil,Defender - Left-Back,left,,,,1091914,679,Brazil,Içara
leo derik,0,2005-07-24,18,1.66,Brazil,Defender - Left-Back,left,2022-06-17,,,1052819,679,Brazil,São Paulo
lucas esquivel,37,2001-10-14,22,1.83,Argentina,Defender - Left-Back,left,2023-07-03,2028-06-30,,829969,679,Argentina,Santa Fe
fernando,6,1999-09-14,24,1.81,Brazil,Defender - Left-Back,left,2023-01-16,2026-12-31,Nike,731057,679,Brazil,Santa Maria
vinicius kaue,0,2003-03-01,21,1.81,Brazil,Defender - Left-Back,left,2024-04-19,,,658676,679,Brazil,Presidente Prudente
joao vitor,0,2004-02-23,20,,Brazil,Defender - Centre-Back,right,,,,1056019,679,Brazil,Rio de Janeiro
marcos andre,0,2006-06-23,17,1.95,Brazil,Defender - Centre-Back,,,,,1196689,679,,
kaique rocha,4,2001-02-28,23,1.95,Brazil,Defender - Centre-Back,right,2023-01-20,2026-12-31,Puma,633377,679,Brazil,Taboão da Serra
pedrinho,23,2002-07-11,21,1.77,Brazil,Defender - Left-Back,left,2023-07-19,2028-06-30,Nike,858712,679,Brazil,Salvador
bruno peres,0,1990-03-01,34,1.78,Brazil,Defender - Right-Back,right,2024-01-01,,Nike,148751,679,Brazil,São Paulo
lucas belezi,45,2003-05-08,21,1.86,Brazil,Defender - Centre-Back,right,2024-01-01,2025-12-31,,668230,679,Brazil,São Paulo
caca,25,1999-04-25,25,1.87,Brazil,Defender - Centre-Back,right,2024-03-07,2024-12-31,,603122,679,Brazil,Visconde do Rio Branco
ze ivaldo,5,1997-02-21,27,1.85,Brazil,Defender - Centre-Back,right,2024-01-01,2026-12-31,adidas,484848,679,Brazil,Maceió
pedro henrique,14,1995-10-02,28,1.88,Brazil,Defender - Centre-Back,right,2024-04-19,2026-12-31,Nike,329720,679,Brazil,Lauro Müller
thiago heleno,44,1988-09-17,35,1.87,Brazil,Defender - Centre-Back,right,2017-01-20,2024-12-31,Nike,45431,679,Brazil,Sete Lagoas
matheus felipe,42,1998-11-09,25,1.86,Brazil,Defender - Centre-Back,right,2024-01-03,2024-12-31,Nike,882916,679,Brazil,Teresina
ruan indio,0,2006-08-10,17,1.91,Brazil,Attack - Centre-Forward,right,2024-01-01,2025-12-31,Nike,1091609,609,Brazil,Belo Horizonte
leo linck,24,2001-03-03,23,1.94,Brazil,Goalkeeper,right,2023-01-01,2026-12-31,Nike,742034,679,Brazil,Marechal Cândido Rondon
arielson,99,2004-09-05,19,1.8,Brazil,Attack - Centre-Forward,right,2024-03-11,2024-06-30,,1084065,609,Brazil,Porto Velho
gabriel pereira,43,2002-07-02,21,1.95,Brazil,Goalkeeper,right,2023-01-01,2025-08-31,Puma,627213,679,Brazil,Itapema
bento,1,1999-06-10,24,1.9,Brazil,Goalkeeper,right,2021-03-01,2026-12-31,Nike,691906,679,Brazil,Curitiba
matheus davo,9,1999-08-16,24,1.78,Brazil,Attack - Centre-Forward,right,2023-07-01,2024-05-31,adidas,670522,609,Brazil,São Paulo
henrique dourado,9,1989-09-15,34,1.86,Brazil,Attack - Centre-Forward,left,2024-01-01,2024-04-30,,270959,609,Brazil,Guarulhos
rafael elias,19,1999-04-12,25,1.79,Brazil,Attack - Centre-Forward,left,2023-07-27,2026-12-31,adidas,587328,609,Brazil,São Paulo
mycael,41,2004-03-12,20,1.91,Brazil,Goalkeeper,left,2023-01-01,2027-03-31,Nike,743586,679,Brazil,Porto Velho
gilberto,9,1989-06-05,34,1.78,Brazil,Attack - Centre-Forward,right,2024-01-19,2024-12-31,Mizuno,164013,609,Brazil,Piranhas
joao pedro,55,2003-02-02,21,1.78,Brazil,Attack - Right Winger,right,2023-10-16,2026-12-31,,987503,609,Brazil,Paracambi
fernando,0,2005-04-12,19,1.75,Brazil,Attack - Right Winger,,2024-03-21,2024-10-31,,1091608,609,Brazil,São Bernardo do Campo
robert,80,2005-04-13,19,1.74,Brazil,Attack - Left Winger,right,2023-10-01,2027-12-31,,1084714,609,Brazil,Pirapora
stenio,11,2003-04-05,21,1.8,Brazil,Attack - Right Winger,right,2024-01-19,2024-06-30,adidas,796574,609,Brazil,Poços de Caldas
denilson goulart,0,2003-07-26,20,1.74,Brazil,Attack - Left Winger,left,2024-05-10,,,981494,609,Brazil,Bagé
bruno rodrigues,11,1997-03-07,27,1.77,Brazil,Attack - Left Winger,right,2024-01-01,2028-12-31,Nike,406766,609,Brazil,Ceará-Mirim
paulo vitor,75,1999-06-24,24,1.68,Brazil,Attack - Right Winger,right,2024-01-17,2024-11-30,,524572,609,Brazil,Rio de Janeiro
rafael bilu,31,1999-04-21,25,1.74,Brazil,Attack - Right Winger,left,2023-01-01,2024-12-31,Nike,625333,609,Brazil,São Paulo
juan christian,0,2001-03-10,23,1.77,Brazil,Attack - Left Winger,right,2023-08-02,2025-12-31,Nike,1010016,609,Brazil,São Bernardo do Campo
arthur gomes,11,1998-07-03,25,1.74,Brazil,Attack - Left Winger,right,2023-07-15,2026-12-31,adidas,401534,609,Brazil,Uberlândia
daniel jr,80,2002-05-09,22,1.74,Brazil,Midfield - Attacking Midfield,left,2024-01-17,2025-12-31,,746358,609,Brazil,Santo André
wesley,21,1999-03-30,25,1.75,Brazil,Attack - Left Winger,right,2024-02-16,2026-12-31,adidas,674732,609,Brazil,Salvador
nikao,11,1992-07-29,31,1.74,Brazil,Midfield - Attacking Midfield,left,2024-04-19,2024-12-31,,149572,609,Brazil,Belo Horizonte
ramiro,17,1993-05-22,30,1.69,Brazil,Midfield - Central Midfield,right,2023-01-01,2024-12-31,Mizuno,258070,609,Brazil,Gramado
matheus pereira,10,1996-05-05,28,1.75,Brazil,Midfield - Attacking Midfield,left,2023-07-24,2024-06-30,Nike,225984,609,Brazil,Belo Horizonte
mateus vital,7,1998-02-12,26,1.75,Brazil,Midfield - Attacking Midfield,right,2023-01-01,2025-12-31,Nike,408958,609,Brazil,Rio de Janeiro
japa,77,2004-01-02,20,1.86,Brazil,Midfield - Central Midfield,left,2024-01-01,2027-12-31,Nike,432157,609,,
henrique rodrigues,0,2003-02-22,21,1.8,Brazil,Midfield - Defensive Midfield,right,2024-02-22,2024-12-31,,1083235,609,,
wallisson,77,1997-09-23,26,1.84,Brazil,Midfield - Defensive Midfield,right,2024-03-22,2024-11-30,adidas,742073,609,Brazil,Central de Minas
neto moura,0,1996-08-06,27,1.76,Brazil,Midfield - Defensive Midfield,right,2023-08-02,2024-12-31,Nike,329843,609,Brazil,Atalaia
richard,25,1994-02-18,30,1.91,Brazil,Midfield - Defensive Midfield,right,2023-07-03,2025-06-30,Puma,530737,609,Brazil,Campinas
